vbs,vgs,irg
-4,1.27E+00,6.67E-12
-4,1.28E+00,6.71E-12
-4,1.29E+00,6.77E-12
-4,1.30E+00,6.84E-12
-4,1.31E+00,6.92E-12
-4,1.32E+00,7.02E-12
-4,1.33E+00,7.15E-12
-4,1.34E+00,7.31E-12
-4,1.35E+00,7.51E-12
-4,1.36E+00,7.76E-12
-4,1.37E+00,8.09E-12
-4,1.38E+00,8.51E-12
-4,1.39E+00,9.06E-12
-4,1.40E+00,9.76E-12
-4,1.41E+00,1.07E-11
-4,1.42E+00,1.19E-11
-4,1.43E+00,1.34E-11
-4,1.44E+00,1.54E-11
-4,1.45E+00,1.80E-11
-4,1.46E+00,2.13E-11
-4,1.47E+00,2.57E-11
-4,1.48E+00,3.15E-11
-4,1.49E+00,3.89E-11
-4,1.50E+00,4.86E-11
-4,1.51E+00,6.13E-11
-4,1.52E+00,7.78E-11
-4,1.53E+00,9.93E-11
-4,1.54E+00,1.27E-10
-4,1.55E+00,1.64E-10
-4,1.56E+00,2.12E-10
-4,1.57E+00,2.74E-10
-4,1.58E+00,3.55E-10
-4,1.59E+00,4.60E-10
-4,1.60E+00,5.98E-10
-4,1.61E+00,7.78E-10
-4,1.62E+00,1.01E-09
-4,1.63E+00,1.32E-09
-4,1.64E+00,1.72E-09
-4,1.65E+00,2.23E-09
-4,1.66E+00,2.91E-09
-4,1.67E+00,3.79E-09
-4,1.68E+00,4.94E-09
-4,1.69E+00,6.44E-09
-4,1.70E+00,8.40E-09
-4,1.71E+00,1.09E-08
-4,1.72E+00,1.43E-08
-4,1.73E+00,1.86E-08
-4,1.74E+00,2.43E-08
-4,1.75E+00,3.16E-08
-4,1.76E+00,4.12E-08
-4,1.77E+00,5.37E-08
-4,1.78E+00,7.01E-08
-4,1.79E+00,9.14E-08
-4,1.80E+00,1.19E-07
-4,1.81E+00,1.55E-07
-4,1.82E+00,2.02E-07
-4,1.83E+00,2.64E-07
-4,1.84E+00,3.44E-07
-4,1.85E+00,4.48E-07
-4,1.86E+00,5.84E-07
-4,1.87E+00,7.73E-07
-4,1.88E+00,1.23E-06
-4,1.89E+00,1.78E-06
-4,1.90E+00,2.44E-06
-4,1.91E+00,3.21E-06
-4,1.92E+00,4.07E-06
-4,1.93E+00,5.04E-06
-4,1.94E+00,6.11E-06
-4,1.95E+00,7.28E-06
-4,1.96E+00,8.56E-06
-4,1.97E+00,9.93E-06
-4,1.98E+00,1.14E-05
-4,1.99E+00,1.29E-05
-4,2.00E+00,1.45E-05
