vbs,vgs,irg,sqrt(irg)
-2,9.90E-01,1.22E-11,0.000003487084742
-2,1.00E+00,1.45E-11,0.000003810318884
-2,1.01E+00,1.75E-11,0.000004189092981
-2,1.02E+00,2.14E-11,0.000004630584196
-2,1.03E+00,2.64E-11,0.000005142758987
-2,1.04E+00,3.29E-11,0.000005734497362
-2,1.05E+00,4.12E-11,0.000006415789897
-2,1.06E+00,5.18E-11,0.000007197925396
-2,1.07E+00,6.55E-11,0.000008093688282
-2,1.08E+00,8.31E-11,0.000009117587949
-2,1.09E+00,1.06E-10,0.00001028612658
-2,1.10E+00,1.35E-10,0.0000116180377
-2,1.11E+00,1.73E-10,0.00001313465264
-2,1.12E+00,2.21E-10,0.00001486019515
-2,1.13E+00,2.83E-10,0.00001682220854
-2,1.14E+00,3.63E-10,0.00001905198152
-2,1.15E+00,4.66E-10,0.00002158505965
-2,1.16E+00,5.98E-10,0.00002446180288
-2,1.17E+00,7.69E-10,0.00002772804537
-2,1.18E+00,9.88E-10,0.00003143581238
-2,1.19E+00,1.27E-09,0.00003564414398
-2,1.20E+00,1.63E-09,0.00004042008164
-2,1.21E+00,2.10E-09,0.00004583963351
-2,1.22E+00,2.70E-09,0.00005198911425
-2,1.23E+00,3.48E-09,0.00005896642265
-2,1.24E+00,4.47E-09,0.00006688261359
-2,1.25E+00,5.76E-09,0.00007586371992
-2,1.26E+00,7.41E-09,0.00008605266992
-2,1.27E+00,9.53E-09,0.00009761163865
-2,1.28E+00,1.23E-08,0.0001107245682
-2,1.29E+00,1.58E-08,0.0001256000796
-2,1.30E+00,2.03E-08,0.0001424749101
-2,1.31E+00,2.61E-08,0.0001616173877
-2,1.32E+00,3.36E-08,0.0001833320212
-2,1.33E+00,4.32E-08,0.0002079640113
-2,1.34E+00,5.57E-08,0.0002359048961
-2,1.35E+00,7.16E-08,0.0002675985987
-2,1.36E+00,9.21E-08,0.0003035483487
-2,1.37E+00,1.19E-07,0.0003443247014
-2,1.38E+00,1.53E-07,0.0003905741927
-2,1.39E+00,1.96E-07,0.0004430292315
-2,1.40E+00,2.53E-07,0.0005025197509
-2,1.41E+00,3.25E-07,0.0005699849121
-2,1.42E+00,4.18E-07,0.0006464875869
-2,1.43E+00,5.38E-07,0.0007332296366
-2,1.44E+00,6.92E-07,0.0008315685179
-2,1.45E+00,1.00E-06,0.00100084864
-2,1.46E+00,1.49E-06,0.001221677126
-2,1.47E+00,2.08E-06,0.001442291926
-2,1.48E+00,2.76E-06,0.001662692996
-2,1.49E+00,3.55E-06,0.001882881037
-2,1.50E+00,4.42E-06,0.002102856628
