vsg,vsd,irg
3,7.10E-01,2.27E-04
3,7.20E-01,2.29E-04
3,7.30E-01,2.32E-04
3,7.40E-01,2.35E-04
3,7.50E-01,2.38E-04
3,7.60E-01,2.41E-04
3,7.70E-01,2.44E-04
3,7.80E-01,2.46E-04
3,7.90E-01,2.49E-04
3,8.00E-01,2.52E-04
3,8.10E-01,2.55E-04
3,8.20E-01,2.57E-04
3,8.30E-01,2.60E-04
3,8.40E-01,2.63E-04
3,8.50E-01,2.66E-04
3,8.60E-01,2.68E-04
3,8.70E-01,2.71E-04
3,8.80E-01,2.74E-04
3,8.90E-01,2.76E-04
3,9.00E-01,2.79E-04
3,9.10E-01,2.82E-04
3,9.20E-01,2.84E-04
3,9.30E-01,2.87E-04
3,9.40E-01,2.90E-04
3,9.50E-01,2.92E-04
3,9.60E-01,2.95E-04
3,9.70E-01,2.97E-04
3,9.80E-01,3.00E-04
3,9.90E-01,3.03E-04
3,1.00E+00,3.05E-04
3,1.01E+00,3.08E-04
3,1.02E+00,3.10E-04
3,1.03E+00,3.13E-04
3,1.04E+00,3.15E-04
3,1.05E+00,3.18E-04
3,1.06E+00,3.20E-04
3,1.07E+00,3.23E-04
3,1.08E+00,3.25E-04
3,1.09E+00,3.28E-04
3,1.10E+00,3.30E-04
3,1.11E+00,3.32E-04
3,1.12E+00,3.35E-04
3,1.13E+00,3.37E-04
3,1.14E+00,3.40E-04
3,1.15E+00,3.42E-04
3,1.16E+00,3.44E-04
3,1.17E+00,3.47E-04
3,1.18E+00,3.49E-04
3,1.19E+00,3.51E-04
3,1.20E+00,3.54E-04
3,1.21E+00,3.56E-04
3,1.22E+00,3.58E-04
3,1.23E+00,3.61E-04
3,1.24E+00,3.63E-04
3,1.25E+00,3.65E-04
3,1.26E+00,3.67E-04
3,1.27E+00,3.70E-04
3,1.28E+00,3.72E-04
3,1.29E+00,3.74E-04
3,1.30E+00,3.76E-04
3,1.31E+00,3.78E-04
3,1.32E+00,3.80E-04
3,1.33E+00,3.83E-04
3,1.34E+00,3.85E-04
3,1.35E+00,3.87E-04
3,1.36E+00,3.89E-04
3,1.37E+00,3.91E-04
3,1.38E+00,3.93E-04
3,1.39E+00,3.95E-04
3,1.40E+00,3.97E-04
3,1.41E+00,3.99E-04
3,1.42E+00,4.01E-04
3,1.43E+00,4.03E-04
3,1.44E+00,4.05E-04
3,1.45E+00,4.07E-04
3,1.46E+00,4.09E-04
3,1.47E+00,4.11E-04
3,1.48E+00,4.13E-04
3,1.49E+00,4.15E-04
3,1.50E+00,4.17E-04
3,1.51E+00,4.19E-04
3,1.52E+00,4.21E-04
3,1.53E+00,4.22E-04
3,1.54E+00,4.24E-04
3,1.55E+00,4.26E-04
3,1.56E+00,4.28E-04
3,1.57E+00,4.30E-04
3,1.58E+00,4.31E-04
3,1.59E+00,4.33E-04
3,1.60E+00,4.35E-04
3,1.61E+00,4.37E-04
3,1.62E+00,4.38E-04
3,1.63E+00,4.40E-04
3,1.64E+00,4.42E-04
3,1.65E+00,4.43E-04
3,1.66E+00,4.45E-04
3,1.67E+00,4.47E-04
3,1.68E+00,4.48E-04
3,1.69E+00,4.50E-04
3,1.70E+00,4.52E-04
3,1.71E+00,4.53E-04
3,1.72E+00,4.55E-04
3,1.73E+00,4.56E-04
3,1.74E+00,4.58E-04
3,1.75E+00,4.59E-04
3,1.76E+00,4.61E-04
3,1.77E+00,4.62E-04
3,1.78E+00,4.64E-04
3,1.79E+00,4.65E-04
3,1.80E+00,4.66E-04
3,1.81E+00,4.68E-04
3,1.82E+00,4.69E-04
3,1.83E+00,4.71E-04
3,1.84E+00,4.72E-04
3,1.85E+00,4.73E-04
