vbs,vsg,irg,sqrt(irg)
-4,1.10E+00,4.32E-11,0.000006573654996
-4,1.11E+00,5.53E-11,0.000007436485057
-4,1.12E+00,7.13E-11,0.000008445588789
-4,1.13E+00,9.26E-11,0.000009621750361
-4,1.14E+00,1.21E-10,0.00001098890804
-4,1.15E+00,1.58E-10,0.00001257468886
-4,1.16E+00,2.08E-10,0.00001441098886
-4,1.17E+00,2.73E-10,0.00001653463335
-4,1.18E+00,3.61E-10,0.00001898815157
-4,1.19E+00,4.76E-10,0.00002182061411
-4,1.20E+00,6.29E-10,0.00002508864484
-4,1.21E+00,8.33E-10,0.00002885753974
-4,1.22E+00,1.10E-09,0.00003320259026
-4,1.23E+00,1.46E-09,0.00003821058754
-4,1.24E+00,1.93E-09,0.00004398153021
-4,1.25E+00,2.56E-09,0.00005063066265
-4,1.26E+00,3.40E-09,0.00005829073683
-4,1.27E+00,4.50E-09,0.00006711470033
-4,1.28E+00,5.97E-09,0.00007727869047
-4,1.29E+00,7.92E-09,0.00008898559996
-4,1.30E+00,1.05E-08,0.0001024690685
-4,1.31E+00,1.39E-08,0.0001179981356
-4,1.32E+00,1.85E-08,0.0001358826332
-4,1.33E+00,2.45E-08,0.0001564792638
-4,1.34E+00,3.25E-08,0.0001801986404
-4,1.35E+00,4.31E-08,0.0002075134213
-4,1.36E+00,5.71E-08,0.0002389675501
-4,1.37E+00,7.57E-08,0.0002751869001
-4,1.38E+00,1.00E-07,0.0003168913063
-4,1.39E+00,1.33E-07,0.0003649083447
-4,1.40E+00,1.77E-07,0.0004201890051
-4,1.41E+00,2.48E-07,0.000498443076
-4,1.42E+00,3.97E-07,0.0006303413361
-4,1.43E+00,5.81E-07,0.0007621546431
-4,1.44E+00,7.99E-07,0.0008938828223
-4,1.45E+00,1.05E-06,0.001025526206
-4,1.46E+00,1.34E-06,0.001157084267
-4,1.47E+00,1.66E-06,0.001288557721
-4,1.48E+00,2.02E-06,0.001419946126
-4,1.49E+00,2.41E-06,0.001551250463
-4,1.50E+00,2.83E-06,0.001682470208
-4,1.51E+00,3.29E-06,0.001813605801
-4,1.52E+00,3.78E-06,0.001944657553
-4,1.53E+00,4.31E-06,0.002075625207
-4,1.54E+00,4.87E-06,0.002206509007
-4,1.55E+00,5.46E-06,0.002337309351
-4,1.56E+00,6.09E-06,0.002468026134
-4,1.57E+00,6.75E-06,0.002598659655
-4,1.58E+00,7.40E-06,0.002720566669
-4,1.59E+00,8.05E-06,0.002837823109
-4,1.60E+00,8.73E-06,0.002954620111
-4,1.61E+00,9.43E-06,0.003070975904
-4,1.62E+00,1.02E-05,0.003186906023
-4,1.63E+00,1.09E-05,0.003302427895
-4,1.64E+00,1.17E-05,0.003417554681
-4,1.65E+00,1.25E-05,0.003532298119
-4,1.66E+00,1.33E-05,0.003646673827
-4,1.67E+00,1.41E-05,0.003760692755
-4,1.68E+00,1.50E-05,0.003874365755
-4,1.69E+00,1.59E-05,0.003987702346
-4,1.70E+00,1.68E-05,0.004100713353
